Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,depot,300,0.5,0.8,0.48,0.41,0.67,0.88
rosame,depot,300,0.5,0.8,0.8,0.87,0.67,0.73
sam_with,depot,300,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,300,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,300,0.5,1.0,0.8,0.87,0.67,0.88
sam_with,depot,400,0.1,0.2,1.0,0.77,0.67,0.88
sam_without,depot,400,0.1,0.2,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0.2,0.74,0.8,0.67,0.64
sam_with,depot,400,0.1,0.4,1.0,0.77,0.67,0.88
sam_without,depot,400,0.1,0.4,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0.4,0.8,0.77,0.67,0.68
sam_with,depot,400,0.1,0.6,1.0,0.77,0.67,0.88
sam_without,depot,400,0.1,0.6,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0.6,0.74,0.67,0.67,0.65
sam_with,depot,400,0.1,0.8,1.0,0.77,0.67,0.88
sam_without,depot,400,0.1,0.8,1.0,0.77,0.67,0.88
rosame,depot,400,0.1,0.8,0.8,0.77,0.67,0.68
sam_with,depot,400,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,400,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,400,0.1,1.0,0.85,0.87,0.8,0.82
sam_with,depot,400,0.2,0.2,1.0,0.77,0.67,0.88
sam_without,depot,400,0.2,0.2,1.0,0.77,0.67,0.88
rosame,depot,400,0.2,0.2,0.8,0.87,0.67,0.73
sam_with,depot,400,0.2,0.4,1.0,0.77,0.67,0.88
sam_without,depot,400,0.2,0.4,1.0,0.77,0.67,0.88
rosame,depot,400,0.2,0.4,0.8,0.85,0.67,0.83
sam_with,depot,400,0.2,0.6,1.0,0.77,0.67,0.88
sam_without,depot,400,0.2,0.6,1.0,0.77,0.67,0.88
rosame,depot,400,0.2,0.6,0.8,0.77,0.67,0.68
sam_with,depot,400,0.2,0.8,1.0,0.77,0.67,0.88
sam_without,depot,400,0.2,0.8,1.0,0.77,0.67,0.88
rosame,depot,400,0.2,0.8,0.8,0.77,0.67,0.68
sam_with,depot,400,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,400,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,400,0.2,1.0,0.8,0.77,0.67,0.68
sam_with,depot,400,0.3,0.2,1.0,0.77,0.57,0.88
sam_without,depot,400,0.3,0.2,1.0,0.77,0.67,0.88
rosame,depot,400,0.3,0.2,0.8,0.87,0.67,0.88
sam_with,depot,400,0.3,0.4,1.0,0.77,0.67,0.88
sam_without,depot,400,0.3,0.4,1.0,0.77,0.67,0.88
rosame,depot,400,0.3,0.4,0.85,0.87,0.8,0.88
sam_with,depot,400,0.3,0.6,1.0,0.77,0.67,0.88
sam_without,depot,400,0.3,0.6,1.0,0.77,0.67,0.88
rosame,depot,400,0.3,0.6,0.85,0.87,0.8,0.88
sam_with,depot,400,0.3,0.8,0.82,0.57,0.67,0.74
sam_without,depot,400,0.3,0.8,0.5,0.43,0.67,0.88
rosame,depot,400,0.3,0.8,0.8,0.77,0.67,0.68
sam_with,depot,400,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,400,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,400,0.3,1.0,0.7,0.57,0.67,0.55
sam_with,depot,400,0.4,0.2,1.0,0.7,0.47,0.88
sam_without,depot,400,0.4,0.2,1.0,0.7,0.67,0.88
rosame,depot,400,0.4,0.2,0.85,0.87,0.8,0.88
sam_with,depot,400,0.4,0.4,1.0,0.77,0.67,0.88
sam_without,depot,400,0.4,0.4,1.0,0.77,0.67,0.88
rosame,depot,400,0.4,0.4,0.85,0.87,0.8,0.88
sam_with,depot,400,0.4,0.6,1.0,0.77,0.67,0.88
sam_without,depot,400,0.4,0.6,1.0,0.77,0.67,0.88
rosame,depot,400,0.4,0.6,0.8,0.77,0.67,0.68
sam_with,depot,400,0.4,0.8,0.81,0.63,0.67,0.79
sam_without,depot,400,0.4,0.8,0.51,0.46,0.67,0.88
rosame,depot,400,0.4,0.8,0.85,0.89,0.8,0.83
sam_with,depot,400,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,400,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,400,0.4,1.0,0.8,0.77,0.67,0.68
sam_with,depot,400,0.5,0.2,1.0,0.57,0.3,0.95
sam_without,depot,400,0.5,0.2,1.0,0.57,0.53,0.95
rosame,depot,400,0.5,0.2,0.82,0.85,0.8,0.78
sam_with,depot,400,0.5,0.4,1.0,0.77,0.67,0.88
sam_without,depot,400,0.5,0.4,1.0,0.77,0.67,0.88
rosame,depot,400,0.5,0.4,0.77,0.87,0.67,0.68
sam_with,depot,400,0.5,0.6,0.93,0.7,0.67,0.68
sam_without,depot,400,0.5,0.6,0.51,0.46,0.67,0.88
rosame,depot,400,0.5,0.6,0.8,0.87,0.67,0.88
sam_with,depot,400,0.5,0.8,0.87,0.43,0.53,0.86
sam_without,depot,400,0.5,0.8,0.64,0.33,0.53,0.95
rosame,depot,400,0.5,0.8,0.85,0.87,0.8,0.88
sam_with,depot,400,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,400,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,400,0.5,1.0,0.8,0.77,0.67,0.68
sam_with,depot,1000,0.1,0.2,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.1,0.2,1.0,0.97,0.8,0.88
rosame,depot,1000,0.1,0.2,0.94,0.97,0.8,0.78
sam_with,depot,1000,0.1,0.4,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.1,0.4,1.0,0.97,0.8,0.88
rosame,depot,1000,0.1,0.4,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.1,0.6,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.1,0.6,1.0,0.97,0.8,0.88
rosame,depot,1000,0.1,0.6,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.1,0.8,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.1,0.8,1.0,0.97,0.8,0.88
rosame,depot,1000,0.1,0.8,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,depot,1000,0.1,1.0,1.0,0.0,0.0,1.0
rosame,depot,1000,0.1,1.0,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.2,0.2,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.2,0.2,1.0,0.97,0.8,0.88
rosame,depot,1000,0.2,0.2,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.2,0.4,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.2,0.4,1.0,0.97,0.8,0.88
rosame,depot,1000,0.2,0.4,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.2,0.6,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.2,0.6,1.0,0.97,0.8,0.88
rosame,depot,1000,0.2,0.6,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.2,0.8,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.2,0.8,1.0,0.97,0.8,0.88
rosame,depot,1000,0.2,0.8,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,depot,1000,0.2,1.0,1.0,0.0,0.0,1.0
rosame,depot,1000,0.2,1.0,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.3,0.2,1.0,0.97,0.7,0.88
sam_without,depot,1000,0.3,0.2,1.0,0.97,0.8,0.88
rosame,depot,1000,0.3,0.2,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.3,0.4,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.3,0.4,1.0,0.97,0.8,0.88
rosame,depot,1000,0.3,0.4,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.3,0.6,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.3,0.6,1.0,0.97,0.8,0.88
rosame,depot,1000,0.3,0.6,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.3,0.8,0.68,0.73,0.8,0.79
sam_without,depot,1000,0.3,0.8,0.33,0.54,0.8,0.88
rosame,depot,1000,0.3,0.8,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,depot,1000,0.3,1.0,1.0,0.0,0.0,1.0
rosame,depot,1000,0.3,1.0,0.94,1.0,0.8,0.84
sam_with,depot,1000,0.4,0.2,1.0,0.97,0.6,0.88
sam_without,depot,1000,0.4,0.2,1.0,0.97,0.8,0.88
rosame,depot,1000,0.4,0.2,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.4,0.4,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.4,0.4,1.0,0.97,0.8,0.88
rosame,depot,1000,0.4,0.4,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.4,0.6,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.4,0.6,1.0,0.97,0.8,0.88
rosame,depot,1000,0.4,0.6,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.4,0.8,0.64,0.63,0.8,0.68
sam_without,depot,1000,0.4,0.8,0.32,0.54,0.8,0.88
rosame,depot,1000,0.4,0.8,0.94,0.97,0.8,0.78
sam_with,depot,1000,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,depot,1000,0.4,1.0,1.0,0.0,0.0,1.0
rosame,depot,1000,0.4,1.0,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.5,0.2,1.0,0.93,0.47,0.88
sam_without,depot,1000,0.5,0.2,1.0,0.93,0.8,0.88
rosame,depot,1000,0.5,0.2,0.94,0.97,0.8,0.88
sam_with,depot,1000,0.5,0.4,1.0,0.97,0.8,0.88
sam_without,depot,1000,0.5,0.4,1.0,0.97,0.8,0.88
rosame,depot,1000,0.5,0.4,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.5,0.6,0.8,0.79,0.8,0.63
sam_without,depot,1000,0.5,0.6,0.34,0.56,0.8,0.88
rosame,depot,1000,0.5,0.6,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.5,0.8,0.65,0.59,0.8,0.63
sam_without,depot,1000,0.5,0.8,0.31,0.53,0.8,0.88
rosame,depot,1000,0.5,0.8,1.0,0.97,0.8,0.88
sam_with,depot,1000,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,depot,1000,0.5,1.0,1.0,0.0,0.0,1.0
rosame,depot,1000,0.5,1.0,1.0,0.97,0.8,0.88
