Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,driverlog,300,0.1,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.1,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,300,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,300,0.1,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.2,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.2,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.2,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.2,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.2,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.2,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.2,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.2,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.2,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.2,0.8,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.2,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.2,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,300,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,300,0.2,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.3,0.2,1.0,0.83,0.75,0.86
sam_without,driverlog,300,0.3,0.2,1.0,0.83,0.83,0.86
rosame,driverlog,300,0.3,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.3,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.3,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.3,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.3,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.3,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.3,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.3,0.8,0.76,0.64,0.83,0.78
sam_without,driverlog,300,0.3,0.8,0.37,0.41,0.83,1.0
rosame,driverlog,300,0.3,0.8,0.94,0.89,1.0,0.81
sam_with,driverlog,300,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,300,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,300,0.3,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.4,0.2,1.0,0.78,0.78,0.86
sam_without,driverlog,300,0.4,0.2,1.0,0.78,0.83,0.86
rosame,driverlog,300,0.4,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.4,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.4,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.4,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.4,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,300,0.4,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,300,0.4,0.6,1.0,0.89,0.92,0.86
sam_with,driverlog,300,0.4,0.8,0.67,0.55,0.83,0.83
sam_without,driverlog,300,0.4,0.8,0.38,0.41,0.83,1.0
rosame,driverlog,300,0.4,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,300,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,300,0.4,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.5,0.2,1.0,0.69,0.83,0.86
sam_without,driverlog,300,0.5,0.2,1.0,0.69,0.83,0.86
rosame,driverlog,300,0.5,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.5,0.4,1.0,1.0,0.94,0.86
sam_without,driverlog,300,0.5,0.4,1.0,1.0,0.94,0.86
rosame,driverlog,300,0.5,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,300,0.5,0.6,0.81,0.79,1.0,0.67
sam_without,driverlog,300,0.5,0.6,0.4,0.69,1.0,0.94
rosame,driverlog,300,0.5,0.6,1.0,0.89,0.94,0.78
sam_with,driverlog,300,0.5,0.8,0.58,0.57,0.83,1.0
sam_without,driverlog,300,0.5,0.8,0.37,0.41,0.83,1.0
rosame,driverlog,300,0.5,0.8,1.0,0.89,0.94,0.78
sam_with,driverlog,300,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,300,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,300,0.5,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.1,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.1,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.1,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.1,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.1,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.1,0.4,1.0,0.89,1.0,0.81
sam_with,driverlog,400,0.1,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.1,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.1,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.1,0.8,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.1,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.1,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.1,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,400,0.1,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,400,0.1,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.2,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.2,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.2,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.2,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.2,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.2,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.2,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.2,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.2,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.2,0.8,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.2,0.8,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.2,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.2,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,400,0.2,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,400,0.2,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.3,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.3,0.2,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.3,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.3,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.3,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.3,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.3,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.3,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.3,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.3,0.8,0.76,0.78,1.0,0.72
sam_without,driverlog,400,0.3,0.8,0.3,0.51,1.0,1.0
rosame,driverlog,400,0.3,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.3,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,400,0.3,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,400,0.3,1.0,1.0,0.89,1.0,0.81
sam_with,driverlog,400,0.4,0.2,1.0,0.94,0.81,0.86
sam_without,driverlog,400,0.4,0.2,1.0,0.94,0.94,0.86
rosame,driverlog,400,0.4,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.4,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.4,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.4,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.4,0.6,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.4,0.6,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.4,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.4,0.8,0.5,0.53,0.94,0.83
sam_without,driverlog,400,0.4,0.8,0.27,0.49,1.0,1.0
rosame,driverlog,400,0.4,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.4,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,400,0.4,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,400,0.4,1.0,0.96,0.89,1.0,0.72
sam_with,driverlog,400,0.5,0.2,1.0,0.89,0.72,0.86
sam_without,driverlog,400,0.5,0.2,1.0,0.89,0.94,0.86
rosame,driverlog,400,0.5,0.2,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.5,0.4,1.0,1.0,1.0,0.86
sam_without,driverlog,400,0.5,0.4,1.0,1.0,1.0,0.86
rosame,driverlog,400,0.5,0.4,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.5,0.6,0.77,0.79,1.0,0.72
sam_without,driverlog,400,0.5,0.6,0.41,0.69,1.0,1.0
rosame,driverlog,400,0.5,0.6,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.5,0.8,0.47,0.61,0.94,0.94
sam_without,driverlog,400,0.5,0.8,0.26,0.48,1.0,1.0
rosame,driverlog,400,0.5,0.8,1.0,0.89,1.0,0.86
sam_with,driverlog,400,0.5,1.0,1.0,0.0,0.0,1.0
sam_without,driverlog,400,0.5,1.0,1.0,0.0,0.0,1.0
rosame,driverlog,400,0.5,1.0,1.0,0.89,1.0,0.86
sam_with,driverlog,1000,0.1,0.2,1.0,1.0,1.0,0.86
sam_without,driverlog,1000,0.1,0.2,1.0,1.0,1.0,0.86
