algorithm,domain,data,Threshold,Epsilon,precision_effect,precision_precondition,recall_effect,recall_precondition
sam,gripper,50,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,50,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,50,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,50,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,50,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,50,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,50,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,50,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,50,0.1,0.6,0.0,0.6,0.0,1.0
sam,gripper,50,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,50,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,50,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,50,0.1,0.8,0.0,0.6,0.0,1.0
sam,gripper,50,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,50,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,50,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,50,0.1,1.0,0.0,0.56,0.0,0.83
sam,gripper,50,0.2,1.0,0.4,0.62,0.25,0.83
sam,gripper,50,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,50,0.9,1.0,0.4,0.6,1.0,1.0
sam,gripper,100,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,100,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,100,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,100,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,100,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,100,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,100,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,100,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,100,0.1,0.6,1.0,0.6,0.12,1.0
sam,gripper,100,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,100,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,100,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,100,0.1,0.8,1.0,0.6,0.12,1.0
sam,gripper,100,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,100,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,100,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,100,0.1,1.0,0.33,0.6,0.12,1.0
sam,gripper,100,0.2,1.0,0.5,0.67,0.38,1.0
sam,gripper,100,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,100,0.9,1.0,0.4,0.6,1.0,1.0
sam,gripper,200,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,200,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,200,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,200,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,200,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,200,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,200,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,200,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,200,0.1,0.6,1.0,0.67,0.25,1.0
sam,gripper,200,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,200,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,200,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,200,0.1,0.8,1.0,0.67,0.25,1.0
sam,gripper,200,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,200,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,200,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,200,0.1,1.0,0.5,0.6,0.25,1.0
sam,gripper,200,0.2,1.0,0.5,0.6,0.5,1.0
sam,gripper,200,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,200,0.9,1.0,0.4,0.6,1.0,1.0
sam,gripper,300,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,300,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,300,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,300,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,300,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,300,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,300,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,300,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,300,0.1,0.6,1.0,0.67,0.25,1.0
sam,gripper,300,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,300,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,300,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,300,0.1,0.8,1.0,0.67,0.25,1.0
sam,gripper,300,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,300,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,300,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,300,0.1,1.0,0.5,0.6,0.25,1.0
sam,gripper,300,0.2,1.0,0.5,0.6,0.5,1.0
sam,gripper,300,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,300,0.9,1.0,0.4,0.6,1.0,1.0
sam,gripper,400,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,400,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,400,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,400,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,400,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,400,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,400,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,400,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,400,0.1,0.6,1.0,0.67,0.25,1.0
sam,gripper,400,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,400,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,400,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,400,0.1,0.8,1.0,0.67,0.25,1.0
sam,gripper,400,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,400,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,400,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,400,0.1,1.0,0.5,0.6,0.25,1.0
sam,gripper,400,0.2,1.0,0.5,0.6,0.5,1.0
sam,gripper,400,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,400,0.9,1.0,0.4,0.6,1.0,1.0
sam,gripper,max,0.1,0.2,1.0,1.0,1.0,1.0
sam,gripper,max,0.2,0.2,1.0,1.0,1.0,1.0
sam,gripper,max,0.3,0.2,1.0,1.0,1.0,1.0
sam,gripper,max,0.9,0.2,0.4,0.6,1.0,1.0
sam,gripper,max,0.1,0.4,1.0,0.75,0.5,1.0
sam,gripper,max,0.2,0.4,1.0,1.0,1.0,1.0
sam,gripper,max,0.3,0.4,1.0,1.0,1.0,1.0
sam,gripper,max,0.9,0.4,0.4,0.6,1.0,1.0
sam,gripper,max,0.1,0.6,1.0,0.67,0.25,1.0
sam,gripper,max,0.2,0.6,1.0,0.86,0.75,1.0
sam,gripper,max,0.3,0.6,1.0,1.0,1.0,1.0
sam,gripper,max,0.9,0.6,0.4,0.6,1.0,1.0
sam,gripper,max,0.1,0.8,1.0,0.67,0.25,1.0
sam,gripper,max,0.2,0.8,1.0,0.75,0.5,1.0
sam,gripper,max,0.3,0.8,0.75,0.75,0.75,1.0
sam,gripper,max,0.9,0.8,0.4,0.6,1.0,1.0
sam,gripper,max,0.1,1.0,0.5,0.6,0.25,1.0
sam,gripper,max,0.2,1.0,0.5,0.6,0.5,1.0
sam,gripper,max,0.3,1.0,0.5,0.62,0.75,0.83
sam,gripper,max,0.9,1.0,0.4,0.6,1.0,1.0
