Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,zeno-travel,200,0.1,0,3,0,1.0,1.0,1.0,1.0
sam,zeno-travel,200,0.1,0,4,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,200,0.1,0,4,0,1.0,1.0,1.0,1.0
sam,zeno-travel,300,0.1,0,0,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,300,0.1,0,0,0,1.0,1.0,1.0,1.0
sam,zeno-travel,300,0.1,0,1,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,300,0.1,0,1,0,1.0,1.0,1.0,1.0
sam,zeno-travel,300,0.1,0,2,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,300,0.1,0,2,0,1.0,1.0,1.0,1.0
sam,zeno-travel,300,0.1,0,3,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,300,0.1,0,3,0,1.0,1.0,1.0,1.0
sam,zeno-travel,300,0.1,0,4,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,300,0.1,0,4,0,0.93,1.0,1.0,0.9
sam,zeno-travel,400,0.1,0,0,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,400,0.1,0,0,0,1.0,1.0,1.0,1.0
sam,zeno-travel,400,0.1,0,1,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,400,0.1,0,1,0,1.0,1.0,1.0,1.0
sam,zeno-travel,400,0.1,0,2,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,400,0.1,0,2,0,1.0,1.0,1.0,1.0
sam,zeno-travel,400,0.1,0,3,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,400,0.1,0,3,0,1.0,1.0,1.0,0.95
sam,zeno-travel,400,0.1,0,4,0,1.0,1.0,1.0,1.0
rosame,zeno-travel,400,0.1,0,4,0,0.96,1.0,1.0,0.93
sam,satellite,10,0.1,0,0,4,1.0,0.1,0.2,1.0
rosame,satellite,10,0.1,0,0,0,0.25,0.33,0.3,0.6
sam,satellite,10,0.1,0,1,4,1.0,0.1,0.2,1.0
rosame,satellite,10,0.1,0,1,0,0.32,0.1,0.7,0.2
sam,satellite,10,0.1,0,2,4,1.0,0.1,0.2,1.0
rosame,satellite,10,0.1,0,2,0,0.2,0.59,0.2,1.0
sam,satellite,10,0.1,0,3,4,1.0,0.1,0.2,1.0
rosame,satellite,10,0.1,0,3,0,0.3,0.1,0.37,0.2
sam,satellite,10,0.1,0,4,4,1.0,0.1,0.2,1.0
rosame,satellite,10,0.1,0,4,0,0.2,0.46,0.2,0.8
sam,satellite,50,0.1,0,0,2,1.0,0.6,0.53,1.0
rosame,satellite,50,0.1,0,0,0,0.63,0.62,0.73,0.75
sam,satellite,50,0.1,0,1,4,1.0,0.2,0.2,1.0
rosame,satellite,50,0.1,0,1,0,0.37,0.4,0.53,0.6
sam,satellite,50,0.1,0,2,2,1.0,0.6,0.53,1.0
rosame,satellite,50,0.1,0,2,0,0.6,0.72,0.53,0.8
sam,satellite,50,0.1,0,3,3,1.0,0.33,0.4,1.0
rosame,satellite,50,0.1,0,3,0,0.45,0.58,0.47,0.76
sam,satellite,50,0.1,0,4,2,1.0,0.6,0.6,1.0
rosame,satellite,50,0.1,0,4,0,0.63,0.6,0.73,0.5
sam,satellite,100,0.1,0,0,2,1.0,0.6,0.53,1.0
rosame,satellite,100,0.1,0,0,0,0.64,0.6,0.73,0.6
sam,satellite,100,0.1,0,1,2,1.0,0.6,0.53,1.0
rosame,satellite,100,0.1,0,1,0,0.6,0.92,0.53,0.79
sam,satellite,100,0.1,0,2,2,1.0,0.6,0.53,1.0
rosame,satellite,100,0.1,0,2,0,0.6,0.86,0.53,1.0
sam,satellite,100,0.1,0,3,2,1.0,0.6,0.53,1.0
rosame,satellite,100,0.1,0,3,0,0.6,0.79,0.53,0.85
sam,satellite,100,0.1,0,4,2,1.0,0.6,0.53,1.0
rosame,satellite,100,0.1,0,4,0,0.62,0.6,0.73,0.6
sam,satellite,200,0.1,0,0,2,1.0,0.6,0.53,1.0
rosame,satellite,200,0.1,0,0,0,0.62,0.77,0.73,0.8
sam,satellite,200,0.1,0,1,2,1.0,0.6,0.53,1.0
rosame,satellite,200,0.1,0,1,0,0.6,0.72,0.53,0.75
sam,satellite,200,0.1,0,2,1,1.0,0.8,0.73,1.0
rosame,satellite,200,0.1,0,2,0,0.8,0.93,0.73,1.0
sam,satellite,200,0.1,0,3,2,1.0,0.6,0.53,1.0
rosame,satellite,200,0.1,0,3,0,0.66,0.6,0.93,0.6
sam,satellite,200,0.1,0,4,2,1.0,0.6,0.53,1.0
rosame,satellite,200,0.1,0,4,0,0.6,0.86,0.53,1.0
sam,satellite,300,0.1,0,0,2,1.0,0.6,0.53,1.0
rosame,satellite,300,0.1,0,0,0,0.63,0.83,0.73,0.84
sam,satellite,300,0.1,0,1,2,1.0,0.6,0.53,1.0
rosame,satellite,300,0.1,0,1,0,0.6,0.6,0.53,0.6
sam,satellite,300,0.1,0,2,2,1.0,0.6,0.53,1.0
rosame,satellite,300,0.1,0,2,0,0.66,0.6,0.93,0.6
sam,satellite,300,0.1,0,3,2,1.0,0.6,0.53,1.0
rosame,satellite,300,0.1,0,3,0,0.62,0.73,0.73,0.8
sam,satellite,300,0.1,0,4,2,1.0,0.6,0.53,1.0
rosame,satellite,300,0.1,0,4,0,0.6,0.93,0.53,0.84
sam,satellite,400,0.1,0,0,0,1.0,1.0,0.93,1.0
rosame,satellite,400,0.1,0,0,0,1.0,1.0,0.93,1.0
sam,satellite,400,0.1,0,1,1,1.0,0.8,0.8,1.0
rosame,satellite,400,0.1,0,1,0,0.8,0.93,0.73,1.0
sam,satellite,400,0.1,0,2,2,1.0,0.6,0.53,1.0
rosame,satellite,400,0.1,0,2,0,0.66,0.96,0.93,0.86
sam,satellite,400,0.1,0,3,1,1.0,0.8,0.8,1.0
rosame,satellite,400,0.1,0,3,0,0.8,0.93,0.73,1.0
sam,satellite,400,0.1,0,4,0,1.0,1.0,0.93,1.0
rosame,satellite,400,0.1,0,4,0,1.0,1.0,0.93,1.0
