Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
rosame,depot,300,0.3,0.2,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.2,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.2,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.2,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.4,0,0,1.0,0.97,0.9,1.0
sam_without,depot,300,0.3,0.4,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.4,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.4,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.4,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.4,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.4,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.4,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.4,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.4,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.3,0.4,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.4,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.4,4,0,1.0,0.97,0.9,1.0
sam_without,depot,300,0.3,0.4,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.4,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.6,0,0,1.0,0.97,0.8,1.0
sam_without,depot,300,0.3,0.6,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.6,0,0,0.85,0.77,0.9,0.73
sam_with,depot,3000,0.3,0.6,1,0,1.0,0.97,0.9,1.0
sam_without,depot,300,0.3,0.6,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.6,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.6,2,0,1.0,0.97,0.97,1.0
sam_without,depot,300,0.3,0.6,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.6,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.6,3,0,1.0,0.97,0.87,1.0
sam_without,depot,300,0.3,0.6,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.6,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.6,4,0,1.0,0.97,0.87,1.0
sam_without,depot,300,0.3,0.6,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.3,0.6,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.3,0.8,0,0,0.93,0.8,0.57,0.44
sam_without,depot,300,0.3,0.8,0,0,0.56,0.62,1.0,0.86
rosame,depot,300,0.3,0.8,0,0,0.8,0.9,0.8,0.64
sam_with,depot,3000,0.3,0.8,1,0,0.93,0.72,0.6,0.54
sam_without,depot,300,0.3,0.8,1,0,0.72,0.63,0.93,0.86
rosame,depot,300,0.3,0.8,1,0,0.93,1.0,0.93,0.82
sam_with,depot,3000,0.3,0.8,2,0,0.93,0.6,0.47,0.21
sam_without,depot,300,0.3,0.8,2,0,0.56,0.6,1.0,0.74
rosame,depot,300,0.3,0.8,2,0,0.97,1.0,0.97,0.79
sam_with,depot,3000,0.3,0.8,3,0,0.93,0.6,0.53,0.26
sam_without,depot,300,0.3,0.8,3,0,0.67,0.71,1.0,0.74
rosame,depot,300,0.3,0.8,3,0,0.97,1.0,0.97,0.79
sam_with,depot,3000,0.3,0.8,4,0,1.0,0.6,0.63,0.27
sam_without,depot,300,0.3,0.8,4,0,0.56,0.58,1.0,0.69
rosame,depot,300,0.3,0.8,4,0,0.83,0.89,0.83,0.69
sam_with,depot,3000,0.3,1.0,0,0,0.38,0.1,0.3,0.07
sam_without,depot,300,0.3,1.0,0,0,0.44,0.45,0.8,0.54
rosame,depot,300,0.3,1.0,0,0,0.3,0.1,0.3,0.07
sam_with,depot,3000,0.3,1.0,1,0,0.32,0.2,0.23,0.15
sam_without,depot,300,0.3,1.0,1,0,0.45,0.45,0.73,0.59
rosame,depot,300,0.3,1.0,1,0,0.47,0.4,0.47,0.27
sam_with,depot,3000,0.3,1.0,2,0,0.4,0.0,0.2,0.0
sam_without,depot,300,0.3,1.0,2,0,0.44,0.45,0.8,0.54
rosame,depot,300,0.3,1.0,2,0,0.47,0.5,0.47,0.28
sam_with,depot,3000,0.3,1.0,3,0,0.35,0.2,0.23,0.05
sam_without,depot,300,0.3,1.0,3,0,0.46,0.45,0.8,0.54
rosame,depot,300,0.3,1.0,3,0,0.53,0.6,0.53,0.25
sam_with,depot,3000,0.3,1.0,4,0,0.27,0.0,0.17,0.0
sam_without,depot,300,0.3,1.0,4,0,0.44,0.45,0.8,0.54
rosame,depot,300,0.3,1.0,4,0,0.33,0.2,0.33,0.04
sam_with,depot,3000,0.4,0.2,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.2,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.2,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.2,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.2,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.2,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.2,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.2,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.2,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.2,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.2,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.2,3,0,0.95,1.0,1.0,0.96
sam_with,depot,3000,0.4,0.2,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.2,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.2,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.4,0,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.4,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.4,0,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.4,1,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.4,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.4,1,0,0.97,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.4,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.4,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.4,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.4,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.4,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.4,3,0,1.0,1.0,0.93,0.96
sam_with,depot,3000,0.4,0.4,4,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.4,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.4,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.6,0,0,1.0,0.97,0.83,1.0
sam_without,depot,300,0.4,0.6,0,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.6,0,0,0.97,1.0,1.0,0.87
sam_with,depot,3000,0.4,0.6,1,0,1.0,0.97,0.93,1.0
sam_without,depot,300,0.4,0.6,1,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.6,1,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.6,2,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.6,2,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.6,2,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.6,3,0,1.0,0.97,1.0,1.0
sam_without,depot,300,0.4,0.6,3,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.6,3,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.6,4,0,1.0,0.97,0.9,1.0
sam_without,depot,300,0.4,0.6,4,0,1.0,0.97,1.0,1.0
rosame,depot,300,0.4,0.6,4,0,1.0,0.97,1.0,1.0
sam_with,depot,3000,0.4,0.8,0,0,0.72,0.67,0.63,0.53
sam_without,depot,300,0.4,0.8,0,0,0.5,0.55,1.0,0.74
rosame,depot,300,0.4,0.8,0,0,0.8,0.9,0.8,0.64
sam_with,depot,3000,0.4,0.8,1,0,0.92,1.0,0.77,0.61
sam_without,depot,300,0.4,0.8,1,0,0.57,0.63,1.0,0.79
rosame,depot,300,0.4,0.8,1,0,0.93,1.0,0.93,0.87
sam_with,depot,3000,0.4,0.8,2,0,0.97,1.0,0.87,0.59
sam_without,depot,300,0.4,0.8,2,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.4,0.8,2,0,0.97,1.0,0.97,0.79
sam_with,depot,3000,0.4,0.8,3,0,0.97,0.6,0.8,0.47
sam_without,depot,300,0.4,0.8,3,0,0.52,0.52,1.0,0.68
rosame,depot,300,0.4,0.8,3,0,0.97,1.0,0.97,0.79
sam_with,depot,3000,0.4,0.8,4,0,0.83,0.93,0.73,0.51
sam_without,depot,300,0.4,0.8,4,0,0.5,0.53,1.0,0.69
rosame,depot,300,0.4,0.8,4,0,0.83,0.93,0.83,0.74
sam_with,depot,3000,0.4,1.0,0,0,0.36,0.15,0.33,0.12
sam_without,depot,300,0.4,1.0,0,0,0.5,0.5,1.0,0.63
rosame,depot,300,0.4,1.0,0,0,0.3,0.1,0.3,0.07
